採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/7/6 上午 11:10:00,1162,2.3,31.8,31.0,7.9,504,--,6.7,90.5,1.1,11.0,89.9,95000,0.46,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/6/23 下午 12:40:00,1162,2.0,34.2,31.4,7.9,587,--,6.5,88.6,1.7,5.2,29.9,38000,0.71,--,0.159,--,1.75,--,<0.001,<0.003,<0.002,0.0020,<0.0003,0.004,0.010,0.100,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/5/4 下午 01:31:00,1162,5.8,33.1,31.3,8.3,936,--,10.3,140.1,12.1,39.8,53.5,2700,6.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/4/5 下午 02:00:00,1162,5.0,32.0,28.1,8.2,963,--,10.9,140.6,7.8,31.6,26.4,4200,7.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/3/6 下午 01:00:00,1162,5.0,25.6,26.3,8.0,967,--,9.9,123.5,5.5,24.6,24.9,8000,8.75,--,0.830,6.33,0.27,0.124,<0.001,<0.003,<0.002,0.0137,<0.0003,0.001,0.009,0.929,<0.001,<0.001,--,--,--,--
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/2/9 上午 11:10:00,1162,4.3,19.0,19.2,7.9,967,--,5.8,62.6,3.0,19.7,23.2,24000,8.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,嘉義縣,八掌溪橋,丙,2017/1/6 下午 12:30:00,1162,4.3,25.8,24.9,7.8,1020,--,4.7,57.2,3.8,17.0,16.2,21000,6.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/12/4 下午 02:55:00,1163,4.3,29.4,22.5,8.2,1070,--,8.4,96.4,3.5,18.9,43.1,1200,5.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/11/2 下午 01:20:00,1163,3.3,33.2,27.2,7.9,660,--,7.1,90.3,4.6,18.1,24.3,78000,1.51,--,0.461,--,1.47,--,<0.001,<0.003,<0.002,0.0072,<0.0003,<0.001,0.007,0.167,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/10/3 下午 01:15:00,1163,3.3,34.7,31.4,7.9,527,--,5.4,72.7,1.2,12.2,85.2,22000,0.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/9/6 下午 03:10:00,1163,2.8,33.4,31.2,7.8,556,--,5.9,79.8,1.2,10.0,52.6,39000,0.45,--,0.080,--,1.60,--,<0.001,<0.003,<0.002,0.0048,<0.0003,<0.001,0.013,0.125,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/8/18 上午 11:35:00,1163,3.3,33.7,32.6,7.8,681,--,5.9,81.1,2.1,12.7,24.6,4900,1.28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/7/6 下午 01:35:00,1163,4.0,32.6,30.8,7.8,520,--,5.9,79.8,<1.0,13.2,78.5,36000,1.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/6/23 下午 01:55:00,1163,2.5,33.8,31.5,7.9,633,--,6.4,87.7,1.7,7.9,27.7,3500,0.72,--,0.156,--,2.09,--,<0.001,<0.003,<0.002,0.0029,<0.0003,<0.001,<0.002,0.007,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/5/4 下午 02:55:00,1163,2.8,33.2,30.7,8.3,793,--,8.9,118.7,9.3,34.0,39.8,100,0.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/4/5 下午 03:40:00,1163,5.8,33.2,27.1,8.6,939,--,11.8,148.6,15.7,46.6,54.2,100,1.57,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/3/6 下午 02:50:00,1163,5.0,25.4,24.0,8.3,870,--,10.8,129.0,6.8,29.7,30.7,1200,4.13,--,0.663,6.71,1.77,0.477,<0.001,<0.003,<0.002,0.0097,<0.0003,<0.001,0.018,0.436,<0.001,<0.001,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/2/9 下午 12:40:00,1163,3.8,20.1,19.5,8.0,662,--,8.0,86.4,2.3,16.2,37.5,5000,3.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,厚生橋,丙,2017/1/6 下午 02:00:00,1163,4.3,26.4,24.7,8.0,1120,--,9.6,115.4,4.8,19.5,27.0,900,5.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/12/4 下午 04:00:00,1164,2.8,24.4,22.2,8.3,24500,--,8.8,110.1,2.3,15.2,50.8,2500,0.83,8860,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/11/2 下午 02:35:00,1164,2.8,30.2,26.0,7.9,4740,--,8.7,112.5,2.9,29.6,60.3,450,0.65,1310,0.085,--,1.61,--,<0.001,<0.003,<0.002,0.0070,<0.0003,0.005,0.022,0.117,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/10/3 下午 02:30:00,1164,4.3,34.6,32.4,8.0,1660,--,5.9,81.6,1.4,24.2,118,1800,0.83,331,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/9/6 下午 04:20:00,1164,3.3,33.5,31.5,8.1,1310,--,7.6,103.5,2.5,16.1,123,650,0.42,202,0.343,--,1.59,--,<0.001,0.004,<0.002,0.0052,<0.0003,0.007,0.035,0.156,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/8/18 下午 12:40:00,1164,4.0,33.1,33.4,8.3,2220,--,11.8,167.4,4.7,22.7,53.8,250,1.06,481,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/7/6 下午 02:40:00,1164,3.8,30.0,30.9,7.9,1100,--,5.8,78.0,1.3,22.3,123,14000,0.08,233,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/6/23 下午 03:05:00,1164,2.3,33.2,31.9,8.1,1330,--,7.4,102.4,1.9,14.5,51.8,26000,0.43,234,0.146,--,1.68,--,<0.001,0.004,<0.002,0.0026,<0.0003,0.004,0.026,0.100,<0.001,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/5/4 上午 10:30:00,1164,2.0,34.0,29.4,7.9,26400,--,5.9,84.9,2.3,10.6,20.2,1100,0.42,9700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/4/5 上午 10:50:00,1164,2.0,28.5,24.5,8.2,27100,--,8.1,107.2,4.3,18.9,31.7,500,0.37,10200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/3/6 上午 09:55:00,1164,2.0,24.8,22.2,8.1,22400,--,8.0,98.9,2.8,14.8,35.9,40,0.76,8500,0.193,4.69,1.35,0.246,<0.001,<0.003,<0.002,0.0052,<0.0003,0.007,0.020,0.164,<0.001,<0.001,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/2/9 下午 02:45:00,1164,3.5,21.4,19.4,8.0,10400,--,9.1,102.4,2.7,16.2,72.1,500,2.14,3160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
八掌溪流域,八掌溪,臺南市,嘉南大橋,丙,2017/1/6 上午 09:30:00,1164,2.8,25.2,22.2,8.2,16200,--,8.3,100.9,2.4,15.4,46.3,300,1.52,5380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/12/4 下午 12:00:00,1657,1.5,30.6,24.8,8.0,544,--,7.8,93.3,1.4,5.2,7.7,150,0.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/11/2 上午 11:20:00,1657,1.0,31.8,27.2,8.0,495,--,9.2,116.1,1.5,5.7,6.9,2700,0.07,--,0.074,--,1.46,--,<0.001,<0.003,<0.002,0.0041,<0.0003,0.002,0.009,0.063,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/10/3 上午 10:40:00,1657,1.0,33.6,30.9,8.2,411,--,7.6,102.5,1.0,8.2,13.8,3800,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/9/6 下午 12:20:00,1657,1.0,33.4,31.4,8.4,418,--,8.5,115.8,1.5,8.2,11.2,1900,0.02,--,0.025,--,1.26,--,<0.001,<0.003,<0.002,0.0026,<0.0003,0.002,0.014,0.048,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/8/18 上午 08:40:00,1657,1.0,30.2,30.0,8.2,350,--,7.7,101.7,<1.0,4.7,6.6,6800,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/7/6 上午 11:05:00,1657,1.5,31.0,26.9,8.3,349,--,8.0,101.4,<1.0,<4.0,36.2,13000,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/6/23 上午 10:20:00,1657,1.0,33.1,27.4,8.3,380,--,8.2,104.0,<1.0,4.5,18.2,5800,0.03,--,0.051,--,2.63,--,<0.001,<0.003,<0.002,0.0010,<0.0003,0.003,0.011,0.034,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/5/4 下午 01:56:00,1657,1.0,36.5,30.9,8.2,521,--,10.4,140.6,2.2,11.7,6.2,270,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/4/5 下午 01:10:00,1657,1.5,30.3,26.4,8.4,555,--,9.4,116.0,4.1,17.4,13.3,100,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/3/6 下午 12:00:00,1657,1.0,27.3,23.6,8.1,555,--,9.3,110.1,2.5,12.0,8.7,2200,0.22,--,0.113,2.81,1.16,0.036,<0.001,<0.003,<0.002,0.0048,<0.0003,<0.001,0.007,0.112,<0.001,<0.001,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/2/9 上午 10:45:00,1657,1.0,16.5,19.2,8.0,530,--,8.1,87.8,1.9,11.0,11.4,600,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,二高便道橋,丙,2017/1/6 下午 12:00:00,1657,1.0,25.4,23.2,8.0,580,--,8.4,97.7,1.5,8.5,8.5,5200,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/12/4 上午 10:58:00,1153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/11/2 上午 09:36:00,1153,1.0,29.7,24.5,8.3,373,--,9.2,110.7,<1.0,<4.0,2.0,1400,0.02,--,0.039,--,0.32,--,<0.001,<0.003,<0.002,0.0006,<0.0003,<0.001,0.003,<0.005,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/10/3 上午 09:35:00,1153,1.0,30.7,28.7,8.5,392,--,8.7,112.9,<1.0,<4.0,1.9,2200,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/9/6 上午 11:20:00,1153,1.0,31.6,28.8,8.6,348,--,8.1,105.4,<1.0,<4.0,9.6,230,<0.01,--,0.010,--,0.79,--,<0.001,<0.003,<0.002,0.0007,<0.0003,<0.001,0.004,0.008,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/8/18 上午 07:40:00,1153,1.0,27.0,25.5,8.3,333,--,8.4,103.5,<1.0,<4.0,2.8,4400,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/7/6 上午 09:50:00,1153,1.5,31.6,25.8,8.5,348,--,8.0,100.2,<1.0,<4.0,21.0,4000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/6/23 上午 08:40:00,1153,1.0,30.9,23.8,8.4,342,--,8.7,103.2,<1.0,<4.0,10.5,2200,<0.01,--,0.039,--,1.19,--,<0.001,<0.003,<0.002,0.0003,<0.0003,0.002,0.005,0.012,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/5/4 下午 12:30:00,1153,1.0,32.5,30.8,8.0,512,--,9.2,125.1,<1.0,<4.0,4.6,4200,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/4/5 下午 12:31:00,1153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/3/6 上午 11:14:00,1153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/2/9 上午 09:55:00,1153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,松竹大橋,丙,2017/1/6 上午 10:52:00,1153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/12/4 上午 11:16:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/11/2 上午 10:08:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/10/3 上午 09:54:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/9/6 上午 11:45:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/8/18 上午 08:00:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/7/6 上午 10:30:00,1301,1.0,31.5,26.1,8.4,358,--,8.1,101.4,<1.0,<4.0,18.1,13000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/6/23 上午 09:13:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/5/4 下午 12:51:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/4/5 下午 12:39:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/3/6 上午 11:29:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/2/9 上午 10:05:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,竹崎大橋,丙,2017/1/6 上午 11:14:00,1301,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/12/4 下午 01:42:00,1154,2.3,27.4,25.4,7.7,886,--,8.1,99.1,2.5,14.0,13.9,40000,2.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/11/2 下午 12:10:00,1154,2.8,31.0,27.9,7.7,995,--,8.8,112.3,4.6,19.3,16.0,83000,1.94,--,0.427,--,2.90,--,<0.001,<0.003,<0.002,0.0069,<0.0003,0.002,0.097,0.470,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/10/3 上午 11:32:00,1154,3.3,34.5,32.0,7.7,810,--,5.3,73.0,1.7,14.8,30.2,58000,1.52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/9/6 下午 02:00:00,1154,2.0,34.5,32.2,7.8,589,--,5.7,78.5,1.8,10.2,16.9,30000,0.95,--,0.209,--,2.62,--,<0.001,<0.003,<0.002,0.0053,<0.0003,0.002,0.030,0.256,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/8/18 上午 09:38:00,1154,2.8,34.8,30.7,7.7,550,--,6.1,82.3,1.4,7.0,17.4,8900,1.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/7/6 上午 11:50:00,1154,2.3,30.4,28.9,8.1,377,--,7.5,97.2,<1.0,7.6,61.7,23000,0.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/6/23 上午 11:20:00,1154,1.0,33.7,30.7,8.0,510,--,6.7,90.3,1.2,5.1,17.9,23000,0.33,--,0.154,--,2.78,--,<0.001,<0.003,<0.002,0.0016,<0.0003,0.002,0.026,0.113,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/5/4 下午 02:20:00,1154,5.0,34.3,33.0,8.1,1420,--,10.0,138.6,7.8,33.0,21.4,47000,6.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/4/5 下午 02:20:00,1154,5.0,33.7,28.1,8.3,1200,--,14.9,191.3,11.8,46.3,43.3,44000,3.84,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/3/6 下午 02:10:00,1154,5.0,27.2,26.9,8.0,1430,--,11.3,142.2,6.8,28.0,23.3,170000,9.02,--,1.06,6.23,3.33,0.355,<0.001,<0.003,<0.002,0.0134,<0.0003,0.002,0.091,0.503,<0.001,<0.001,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/2/9 下午 12:20:00,1154,4.3,17.2,20.6,8.0,1560,--,9.1,101.2,4.4,27.3,24.2,140000,6.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義市,牛稠溪橋,丙,2017/1/6 下午 01:40:00,1154,4.5,28.8,25.1,7.8,1140,--,7.1,85.9,5.5,22.1,10.2,220000,7.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/12/4 下午 02:00:00,1155,6.3,28.5,23.5,7.8,1400,--,2.8,33.2,6.0,27.3,30.2,220000,10.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/11/2 下午 12:43:00,1155,5.8,32.0,26.7,7.7,1490,--,4.5,56.1,6.7,26.5,16.6,100000,9.06,--,1.32,--,3.05,--,<0.001,<0.003,<0.002,0.0073,<0.0003,0.002,0.021,0.362,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/10/3 下午 12:20:00,1155,4.8,34.2,31.5,7.8,928,--,5.0,67.1,3.5,21.2,29.2,33000,4.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/9/6 下午 02:20:00,1155,4.8,33.0,32.2,7.8,846,--,5.4,73.8,4.4,20.2,20.4,81000,4.52,--,0.370,--,1.97,--,<0.001,<0.003,<0.002,0.0078,<0.0003,<0.001,0.019,0.197,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/8/18 上午 10:40:00,1155,3.3,31.6,31.0,7.7,918,--,5.0,67.9,3.7,18.5,17.4,51000,2.80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/7/6 下午 12:03:00,1155,4.0,32.7,29.6,7.8,585,--,5.1,67.3,2.2,12.3,78.7,310000,1.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/6/23 上午 11:40:00,1155,3.3,33.1,30.8,7.7,693,--,4.6,62.8,2.2,12.1,24.2,36000,2.13,--,0.426,--,2.65,--,<0.001,<0.003,<0.002,0.0032,<0.0003,0.002,0.028,0.147,<0.001,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/5/4 下午 03:07:00,1155,5.0,34.5,31.0,8.1,1800,--,11.0,148.8,9.7,41.6,24.0,30000,10.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/4/5 下午 02:30:00,1155,6.0,31.3,29.0,8.0,1870,--,7.6,99.1,17.3,64.0,44.7,260000,14.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/3/6 下午 02:15:00,1155,5.5,27.7,24.5,7.9,1730,--,5.4,66.0,9.8,44.0,22.1,270000,15.5,--,2.36,9.98,0.70,0.233,<0.001,<0.003,<0.002,0.0113,<0.0003,0.009,0.068,0.664,<0.001,<0.001,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/2/9 下午 12:55:00,1155,5.8,18.7,20.3,7.9,1780,--,4.2,46.6,9.0,39.2,16.2,89000,11.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,月眉潭橋,丁,2017/1/6 下午 02:10:00,1155,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
朴子溪流域,朴子溪,嘉義縣,介壽橋,丁,2017/12/4 下午 02:52:00,1156,4.8,26.0,24.2,7.9,1490,--,5.8,69.1,3.4,22.4,37.9,2400,11.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
朴子溪流域,朴子溪,嘉義縣,介壽橋,丁,2017/11/2 下午 01:25:00,1156,4.3,31.0,26.5,7.9,1070,--,7.4,92.8,4.5,22.6,32.2,23000,3.58,--,0.858,--,1.94,--,<0.001,<0.003,<0.002,0.0094,<0.0003,0.003,0.018,0.282,<0.001,--,--,--,--,--
