採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/10/22 上午 11:35:00,1221,1.5,26.2,23.1,7.4,150,--,7.1,83.4,1.2,8.5,23.5,65000,0.32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/9/16 下午 03:45:00,1221,2.0,33.2,28.9,7.3,205,--,5.9,77.6,2.4,7.8,18.0,82000,0.93,--,0.191,--,1.39,--,<0.001,<0.003,<0.002,0.0016,<0.0003,0.007,0.020,0.060,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/8/4 上午 11:55:00,1221,4.5,33.0,30.0,7.1,226,--,3.5,47.7,2.8,14.5,7.0,34000,3.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/7/4 上午 08:15:00,1221,2.8,31.2,25.4,7.1,199,--,4.5,54.7,1.6,4.2,16.3,71000,0.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/6/7 下午 12:15:00,1221,2.5,32.6,28.5,7.2,161,--,6.3,80.8,2.0,5.8,39.5,130000,0.57,--,0.153,--,1.57,--,<0.001,0.008,<0.002,0.0009,<0.0003,0.006,0.016,0.059,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/5/5 下午 12:55:00,1221,2.8,32.9,28.3,7.2,202,--,5.5,70.8,2.5,19.9,13.5,36000,1.61,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/4/17 下午 02:15:00,1221,5.5,28.7,26.6,7.2,251,--,3.8,48.0,4.1,21.2,33.3,82000,5.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/3/9 上午 08:25:00,1221,3.8,14.4,16.3,7.2,235,--,4.6,46.5,2.6,10.6,16.4,110000,4.70,--,0.797,3.22,0.94,0.111,<0.001,<0.003,<0.002,0.0020,<0.0003,<0.001,0.016,0.069,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/2/8 下午 12:45:00,1221,5.0,20.9,20.3,7.2,248,--,3.0,32.3,2.6,12.4,21.5,21000,4.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2017/1/6 上午 10:55:00,1221,3.5,25.1,23.2,7.0,193,--,4.1,48.0,1.7,11.6,11.8,37000,1.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/12/7 下午 01:55:00,1222,1.5,16.7,18.6,7.3,483,--,9.5,101.3,1.1,14.3,19.6,36000,0.90,87.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/11/9 上午 03:55:00,1222,2.5,23.4,23.8,7.3,957,--,5.6,66.9,1.6,18.8,26.4,10000,0.77,231,0.202,--,0.31,--,<0.001,<0.003,<0.002,0.0042,<0.0003,0.002,0.008,0.132,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/10/22 下午 12:35:00,1222,2.0,26.8,23.0,7.5,475,--,6.3,73.9,1.5,7.8,28.0,38000,0.46,99.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/9/16 上午 08:45:00,1222,2.0,29.4,27.8,7.3,5700,--,4.6,59.1,1.3,16.1,16.9,3100,0.86,1260,0.146,--,0.79,--,<0.001,0.003,<0.002,0.0039,<0.0003,0.004,0.008,0.143,<0.001,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/8/4 上午 10:15:00,1222,3.3,32.7,31.6,7.4,9100,--,6.3,86.6,2.9,21.4,46.7,6500,1.74,3540,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/7/4 上午 09:15:00,1222,2.0,33.1,29.9,7.3,4100,--,4.7,62.2,2.5,21.4,19.6,6100,0.85,1290,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/6/7 上午 10:35:00,1222,3.8,32.1,28.4,7.2,666,--,4.1,53.2,3.3,15.2,47.4,53000,0.54,114,0.055,--,0.77,--,0.001,0.006,<0.002,0.0036,<0.0003,0.013,0.024,0.097,0.002,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2017/5/5 上午 07:35:00,1222,3.3,27.5,27.1,7.5,1290,--,5.6,70.7,2.0,17.6,21.2,5100,1.35,67.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
