採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2018/2/10 下午 12:05:00,1332,1.0,27.7,17.7,7.69,112,--,9.7,101.4,<1.0,<4.0,2.2,520,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,甲,2018/1/6 上午 10:10:00,1332,1.0,18.2,17.9,7.52,115,--,9.8,102.3,<1.0,6.9,2.8,3400,<0.01,--,0.020,0.42,0.70,0.002,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.003,<0.005,<0.001,--,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/12/4 上午 08:35:00,1221,4.0,21.6,21.4,7.04,205,--,4.0,44.4,2.1,14.5,24.3,72000,1.75,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/11/13 上午 08:45:00,1221,1.0,25.5,22.7,7.16,162,--,7.0,80.5,1.7,9.1,14.4,47000,0.49,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/10/4 下午 02:45:00,1221,3.0,25.5,23.7,7.02,191,--,5.1,61.0,3.6,16.7,33.9,120000,0.98,--,0.530,--,1.16,--,<0.001,<0.003,<0.002,0.0021,<0.0003,<0.001,0.005,0.040,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/9/2 下午 02:25:00,1221,5.3,31.7,30.9,7.14,229,--,3.7,50.6,5.0,20.5,29.3,270000,1.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/8/7 下午 02:45:00,1221,4.0,34.6,32.6,7.18,214,--,4.6,64.3,6.7,15.6,13.0,300000,1.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/7/5 上午 11:15:00,1221,4.8,30.8,26.3,7.12,218,--,2.9,36.6,2.4,8.3,99.7,50000,1.75,--,0.079,--,0.74,--,<0.001,0.004,<0.002,0.0030,<0.0003,0.004,0.032,0.109,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/6/8 下午 12:55:00,1221,7.0,33.0,30.8,7.04,173,--,4.5,60.0,9.1,38.0,129,190000,2.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/5/11 下午 03:55:00,1221,4.0,27.1,28.5,7.28,242,--,3.9,50.4,3.4,13.6,13.2,13000,2.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/4/10 下午 02:15:00,1221,4.8,25.9,26.3,7.35,282,--,4.6,56.5,3.7,8.8,22.4,5800,5.57,--,0.169,--,0.39,--,<0.001,<0.003,<0.002,0.0045,<0.0003,0.004,0.012,0.089,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/3/8 上午 11:15:00,1221,3.5,17.0,19.3,7.08,203,--,3.3,35.6,1.7,7.8,12.8,54000,2.54,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/2/10 下午 12:55:00,1221,2.0,26.3,22.7,7.07,165,--,5.8,67.3,3.3,7.7,10.8,45000,0.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),丙,2018/1/6 上午 10:55:00,1221,3.3,18.0,19.0,7.03,163,--,5.9,63.4,4.0,17.2,17.2,270000,1.27,--,0.201,2.10,1.48,0.061,<0.001,0.004,<0.002,0.0014,<0.0003,0.005,0.020,0.057,<0.001,--,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/12/4 上午 09:25:00,1222,4.0,23.7,23.5,7.33,1350,--,4.0,46.4,1.1,10.2,24.0,13000,1.16,103,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/11/13 下午 03:25:00,1222,2.0,26.1,24.0,7.24,363,--,5.9,69.9,2.0,17.4,36.5,21000,0.35,46.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/10/4 上午 07:55:00,1222,2.8,22.5,23.9,7.26,1830,--,3.6,42.2,1.5,14.4,18.0,9100,0.82,482,0.197,--,0.75,--,<0.001,<0.003,<0.002,0.0041,<0.0003,<0.001,0.003,0.077,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2018/9/2 下午 03:10:00,1222,2.0,31.4,31.2,7.43,4230,--,5.2,71.3,2.4,20.9,18.5,4100,0.79,1130,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
