採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
新山水庫,基隆市,新山水庫一,甲,2018/1/2 上午 09:06:00,2087,53,0.5,17.4,18.2,7.77,135,--,9.6,102.1,2.4,14.8,0.034,--,1.8,3.6,8.6,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,乙,2018/12/4 上午 09:12:00,2088,51,0.5,25.7,22.3,7.55,141,--,8.7,99.7,2.2,7.6,0.030,--,1.3,2.5,8.9,0.02,--,--,--,--,1.18,--,--
新山水庫,基隆市,新山水庫二,乙,2018/11/6 上午 09:11:00,2088,41,0.5,25.2,22.9,7.30,140,--,7.2,83.0,2.6,2.6,0.010,--,1.2,1.4,<4.0,0.03,--,--,--,--,1.21,--,--
新山水庫,基隆市,新山水庫二,乙,2018/10/4 上午 09:10:00,2088,46,0.5,25.2,24.9,7.57,138,--,6.8,82.9,2.0,8.0,0.009,--,1.6,3.3,6.8,0.02,--,--,--,--,1.76,--,--
新山水庫,基隆市,新山水庫二,乙,2018/9/3 上午 08:23:00,2088,45,0.5,31.8,30.7,7.72,136,--,8.0,108.9,3.2,2.6,0.030,--,1.2,1.0,11.9,0.04,--,--,--,--,1.91,--,--
新山水庫,基隆市,新山水庫二,甲,2018/8/1 上午 11:18:00,2088,42,0.5,34.4,32.3,8.54,138,--,7.9,111.1,2.4,0.9,0.023,--,2.2,2.4,9.8,0.02,--,--,--,--,2.23,--,--
新山水庫,基隆市,新山水庫二,甲,2018/7/9 上午 09:09:00,2088,41,0.5,31.4,29.0,8.80,136,--,8.9,116.2,1.6,1.5,0.009,--,2.8,2.3,10.5,0.02,--,--,--,--,1.87,--,--
新山水庫,基隆市,新山水庫二,甲,2018/6/11 上午 09:08:00,2088,49,0.5,26.4,28.9,9.33,138,--,8.6,114.3,1.6,2.7,0.029,--,3.3,4.6,10.6,0.03,--,--,--,--,2.56,--,--
新山水庫,基隆市,新山水庫二,甲,2018/5/18 上午 09:23:00,2088,45,0.5,30.3,28.2,9.08,136,--,11.7,152.5,1.6,2.5,0.014,--,3.9,3.6,4.1,0.08,--,--,--,--,2.18,--,--
新山水庫,基隆市,新山水庫二,甲,2018/4/12 上午 09:27:00,2088,44,0.5,22.4,23.5,8.97,146,--,10.3,122.7,2.0,3.0,0.013,--,1.5,3.4,11.0,0.02,--,--,--,--,1.81,--,--
新山水庫,基隆市,新山水庫二,甲,2018/3/5 上午 09:36:00,2088,37,0.5,23.7,20.4,9.12,132,--,12.2,135.8,1.3,0.1,0.019,--,1.8,1.9,9.9,<0.01,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2018/2/1 上午 10:25:00,2088,47,0.5,11.6,16.4,7.09,132,--,8.7,88.6,1.8,2.3,0.024,--,2.3,2.0,7.8,0.02,--,--,--,--,--,--,--
新山水庫,基隆市,新山水庫二,甲,2018/1/2 上午 09:15:00,2088,52,0.5,17.4,18.1,7.81,135,--,9.7,103.1,2.1,11.7,0.029,--,2.5,3.6,12.0,0.02,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2018/11/6 上午 11:15:00,2089,39,0.5,26.7,23.7,7.26,81,--,9.0,107.4,2.8,1.5,0.009,--,2.4,1.6,<4.0,0.05,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2018/8/1 下午 01:50:00,2089,42,0.5,33.8,32.1,8.18,95,--,8.5,118.8,2.6,1.8,0.016,--,2.2,2.6,10.0,0.05,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2018/5/18 上午 10:32:00,2089,42,0.5,32.4,30.3,8.72,89,--,8.6,115.4,2.2,2.3,0.012,--,3.9,2.5,<4.0,0.03,--,--,--,--,--,--,--
西勢水庫,基隆市,西勢水庫,乙,2018/2/1 上午 11:25:00,2089,41,0.5,11.1,16.1,7.82,98,--,8.7,85.2,1.2,0.3,0.019,--,5.1,3.8,6.7,0.04,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2018/12/7 上午 10:17:00,2096,49,0.5,19.0,21.5,8.14,199,--,8.3,96.4,2.6,4.4,0.035,--,1.5,1.6,<4.0,0.02,--,--,--,--,0.89,--,--
石門水庫,桃園市,石門水庫一,甲,2018/11/9 上午 10:23:00,2096,37,0.5,29.4,23.2,8.58,189,--,9.7,116.1,3.2,3.3,0.004,--,1.7,1.4,8.5,0.01,--,--,--,--,0.73,--,--
石門水庫,桃園市,石門水庫一,甲,2018/10/11 上午 10:15:00,2096,53,0.5,22.6,24.3,8.55,206,--,8.5,104.9,1.8,10.1,0.032,--,1.4,2.4,4.5,0.02,--,--,--,--,1.44,--,--
石門水庫,桃園市,石門水庫一,甲,2018/9/6 上午 10:27:00,2096,52,0.5,30.7,28.7,9.03,210,--,9.6,128.4,2.4,10.1,0.037,--,2.3,2.4,7.9,0.04,--,--,--,--,1.32,--,--
石門水庫,桃園市,石門水庫一,甲,2018/8/1 上午 10:21:00,2096,47,0.5,31.6,29.7,8.98,220,--,9.7,133.7,1.2,2.7,0.016,--,1.6,1.6,9.2,0.04,--,--,--,--,1.24,--,--
石門水庫,桃園市,石門水庫一,甲,2018/7/6 上午 10:16:00,2096,41,0.5,31.3,27.4,7.70,260,--,5.6,73.6,0.8,1.1,0.005,--,8.5,3.0,6.7,0.02,--,--,--,--,0.56,--,--
石門水庫,桃園市,石門水庫一,甲,2018/6/8 上午 10:20:00,2096,48,0.5,33.9,30.1,8.76,243,--,7.5,100.6,1.2,1.0,0.039,--,6.5,4.7,<4.0,0.03,--,--,--,--,1.04,--,--
石門水庫,桃園市,石門水庫一,甲,2018/5/11 上午 10:15:00,2096,41,0.5,26.6,25.3,9.04,213,--,9.7,120.8,1.4,3.4,0.004,--,3.1,4.2,10.6,0.05,--,--,--,--,1.72,--,--
石門水庫,桃園市,石門水庫一,甲,2018/4/11 上午 10:36:00,2096,43,0.5,25.8,22.1,8.96,205,--,10.2,119.6,1.8,2.6,0.011,--,2.5,3.0,<4.0,0.03,--,--,--,--,0.95,--,--
石門水庫,桃園市,石門水庫一,甲,2018/3/7 上午 11:36:00,2096,55,0.5,22.5,18.9,8.58,191,--,10.6,114.1,1.0,11.7,0.025,--,3.2,2.8,7.7,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2018/2/6 上午 11:01:00,2096,48,0.5,12.0,15.4,7.96,191,--,8.9,90.2,1.8,2.1,0.032,--,9.1,3.3,<4.0,0.03,--,--,--,--,--,--,--
石門水庫,桃園市,石門水庫一,甲,2018/1/10 上午 11:04:00,2096,41,0.5,16.0,17.5,8.07,195,--,8.8,94.2,2.6,2.8,0.010,--,2.1,1.4,5.1,0.06,--,--,--,--,--,--,--
