location,name,type,lat,lon
|老庄溪, Miaoli County, Taiwan Province, 369, Taiwan|,|老庄溪, 苗栗縣, 臺灣省, 369, Taiwan|,river,24.3072233,120.8463541
|旱溪, Hanxi Village, East District, Taichung, 401, Taiwan|,|旱溪, 旱溪里, 東區, 臺中市, 401, Taiwan|,river,24.1412503,120.7007353
|旱溪排水, Dali District, Taichung, 41473, Taiwan|,|旱溪排水, 大里區, 臺中市, 41473, Taiwan|,river,24.1074528,120.6630919
南投貓羅溪,|貓羅溪, 南投縣, 臺灣省, 54155, Taiwan|,river,23.9122963,120.7026145
|旱溪排水, Dali District, Taichung, 41283, Taiwan|,|旱溪排水, 大里區, 臺中市, 41283, Taiwan|,river,24.1150291,120.670992
|旱溪, Dunnan Village, Houli District, Taichung, 42147, Taiwan|,|旱溪, 墩南里, 后里區, 臺中市, 42147, Taiwan|,river,24.2992355,120.7165378
|旱溪, Xintian Village, Tanzi District, Taichung, 40647, Taiwan|,|旱溪, 新田里, 潭子區, 臺中市, 40647, Taiwan|,river,24.2116447,120.7162543
|旱溪, Wuri District, Taichung, 414, Taiwan|,|旱溪, 烏日區, 臺中市, 414, Taiwan|,river,24.1021422,120.6374163
谷溪,|谷溪, 左鎮區, 臺南市, 713, Taiwan|,stream,23.0477824,120.3735398
|旗山溪, Jiaxian District, Kaohsiung, 847, Taiwan|,|旗山溪, 甲仙區, 高雄市, 847, Taiwan|,river,23.1698529,120.6466454
|東港溪, Neipu, Pingtung County, Taiwan Province, 912, Taiwan|,|東港溪, 內埔鄉, 屏東縣, 臺灣省, 912, Taiwan|,river,22.5793408,120.561501
|牛稠溪, Pingtung County, Taiwan Province, 90049, Taiwan|,|牛稠溪, 屏東縣, 臺灣省, 90049, Taiwan|,river,22.6509532,120.4775534
|Taiping River, Taian Village, Beinan, Taitung County, Taiwan Province, 954, Taiwan|,|太平溪, 泰安村, 卑南鄉, 臺東縣, 臺灣省, 954, Taiwan|,river,22.8066536,121.0695349
|Luye River, Taoyuan Village, Yanping, Taitung County, Taiwan Province, 953, Taiwan|,|鹿野溪, 桃源村, 延平鄉, 臺東縣, 臺灣省, 953, Taiwan|,river,22.8891326,121.1034135
花蓮太平溪,|豐坪溪, 卓溪鄉, 花蓮縣, 臺灣省, 982, Taiwan|,river,23.4397405,121.2887501
|Lele River, Zhuoxi, Hualien County, Taiwan Province, 982, Taiwan|,|樂樂溪, 卓溪鄉, 花蓮縣, 臺灣省, 982, Taiwan|,river,23.3449384,121.2190882
|荖溪, Shoufeng, Hualien County, Taiwan Province, 974, Taiwan|,|荖溪, 壽豐鄉, 花蓮縣, 臺灣省, 974, Taiwan|,river,23.8949018,121.5070939
|壽豐溪(知亞干溪), Wanrong, Hualien County, Taiwan Province, 979, Taiwan|,|壽豐溪(知亞干溪), 萬榮鄉, 花蓮縣, 臺灣省, 979, Taiwan|,river,23.8204082,121.4377608
|七家灣溪, Heping District, Taichung, 42413, Taiwan|,|七家灣溪, 和平區, 臺中市, 42413, Taiwan|,stream,24.4067802,121.3142811
南澳南溪,|南澳南溪, 南澳鄉, 宜蘭縣, 臺灣省, 272, Taiwan|,river,24.4247765,121.7355698
林尾溪,|林尾溪, 礁溪鄉, 宜蘭縣, 臺灣省, 26244, Taiwan|,river,24.814497,121.7445166
