採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
大甲溪流域,大甲溪,臺中市,龍安橋,乙,2019/2/15 上午 09:30:00,1110,1.0,23.1,21.4,8.22,268,--,8.9,104.6,1.1,<4.0,1.1,220,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,龍安橋,乙,2019/1/3 上午 11:30:00,1110,1.0,24.7,22.6,8.42,275,--,9.4,113.4,1.1,<4.0,1.2,340,0.07,--,0.020,0.42,0.54,<0.001,<0.001,<0.003,<0.002,0.0004,<0.0003,<0.001,0.026,<0.005,<0.001,<0.005,<0.001,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/12/2 上午 11:20:00,1111,1.0,22.3,19.5,8.61,230,--,9.3,105.0,1.5,6.5,3.7,1100,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/11/4 下午 01:40:00,1111,1.0,27.3,22.7,8.78,225,--,8.8,106.6,1.6,<4.0,1.5,180,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/10/2 上午 10:10:00,1111,1.0,29.5,23.8,8.46,214,--,8.7,106.6,<1.0,<4.0,1.1,500,0.16,--,0.017,--,0.53,--,<0.001,<0.003,<0.002,0.0004,<0.0003,<0.001,0.010,0.007,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/9/12 上午 11:40:00,1111,1.0,31.0,24.0,8.59,188,--,8.8,109.1,1.4,<4.0,10.1,600,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/8/1 下午 02:20:00,1111,1.5,27.7,24.3,8.40,201,--,8.5,107.0,3.3,8.4,7.6,240,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/7/1 下午 02:00:00,1111,2.0,32.5,23.9,8.32,192,--,9.1,113.5,4.2,17.4,28.2,340,0.08,--,0.031,--,0.33,--,<0.001,<0.003,<0.002,0.0007,<0.0003,<0.001,0.007,0.019,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/6/3 下午 02:40:00,1111,1.5,28.5,21.9,8.15,174,--,9.3,111.0,2.1,10.6,38.6,630,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/5/6 下午 12:10:00,1111,1.0,24.2,19.6,8.24,232,--,9.3,105.6,2.1,9.3,11.4,2200,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/4/1 下午 01:20:00,1111,1.5,24.7,18.9,8.42,233,--,9.4,104.8,3.5,13.9,2.4,2300,0.06,--,0.030,--,0.52,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.002,0.008,0.009,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/3/4 下午 01:50:00,1111,1.0,27.2,23.2,8.58,269,--,8.8,107.2,1.1,<4.0,2.3,210,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/2/15 上午 10:20:00,1111,1.0,25.5,21.2,8.54,268,--,9.4,109.0,<1.0,<4.0,3.1,210,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2019/1/3 下午 01:20:00,1111,1.0,28.4,20.4,8.70,252,--,9.1,104.0,1.3,<4.0,4.3,1000,0.08,--,0.024,1.09,0.49,0.003,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.010,0.014,<0.001,<0.005,<0.001,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/12/2 上午 11:30:00,1112,1.0,20.6,19.7,8.71,238,--,9.6,108.2,1.0,5.0,3.8,400,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/11/4 下午 01:50:00,1112,1.0,27.0,23.6,8.89,228,--,9.6,117.0,2.0,5.8,2.3,850,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/10/2 上午 10:30:00,1112,1.0,28.6,23.9,8.48,219,--,8.7,107.0,<1.0,<4.0,1.7,300,0.10,--,0.052,--,0.54,--,<0.001,<0.003,<0.002,0.0005,<0.0003,<0.001,0.011,0.005,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/9/12 上午 11:50:00,1112,1.0,30.0,26.0,8.70,183,--,9.6,122.7,1.1,4.5,9.2,300,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/8/1 下午 02:30:00,1112,1.0,30.8,25.3,8.50,200,--,8.8,111.4,1.7,7.9,7.3,700,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/7/1 下午 02:10:00,1112,1.5,31.7,24.4,8.14,196,--,8.6,107.4,<1.0,4.3,37.2,570,0.08,--,0.034,--,0.33,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.001,0.007,0.019,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/6/3 下午 02:50:00,1112,2.3,27.8,22.9,8.16,182,--,8.8,106.2,1.2,5.5,54.2,3100,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/5/6 下午 01:50:00,1112,1.5,23.5,19.6,8.26,233,--,9.3,104.9,3.8,11.4,11.4,2300,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/4/1 下午 01:30:00,1112,2.3,19.8,19.1,8.26,237,--,9.5,106.0,6.3,11.9,4.2,530,0.03,--,0.011,--,0.45,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.028,0.066,<0.001,0.006,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/3/4 下午 02:00:00,1112,1.0,27.6,23.6,8.64,280,--,10.6,128.6,1.8,5.4,3.1,280,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/2/15 上午 10:30:00,1112,1.0,24.3,21.3,8.53,270,--,9.4,108.6,2.0,<4.0,4.5,75,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2019/1/3 下午 01:30:00,1112,1.0,24.3,21.2,8.80,251,--,9.9,114.0,1.0,5.0,3.2,110,0.07,--,0.023,1.00,0.49,<0.001,<0.001,<0.003,<0.002,0.0006,<0.0003,<0.001,0.024,<0.005,<0.001,<0.005,<0.001,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/12/2 下午 01:20:00,1113,1.0,21.5,21.9,8.48,224,--,9.6,112.6,2.5,6.5,1.8,40000,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/11/4 下午 02:30:00,1113,1.0,27.2,23.4,8.60,224,--,8.5,103.0,1.7,5.3,3.5,21000,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/10/2 上午 11:00:00,1113,1.0,30.0,27.0,8.48,210,--,8.5,110.2,<1.0,<4.0,3.4,83000,0.18,--,0.095,--,1.78,--,<0.001,<0.003,<0.002,0.0005,<0.0003,0.001,0.006,0.016,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/9/12 下午 01:20:00,1113,1.0,32.0,28.0,8.52,190,--,8.9,118.0,<1.0,<4.0,16.0,93000,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/8/1 下午 03:10:00,1113,1.0,27.7,26.5,8.22,217,--,7.9,102.2,2.6,7.4,6.7,24000,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/7/1 下午 02:50:00,1113,1.0,32.7,27.0,8.16,207,--,8.2,107.7,1.2,6.3,11.0,18000,0.10,--,0.068,--,0.81,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.001,0.008,0.019,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/6/3 下午 03:30:00,1113,1.0,28.5,24.5,8.02,191,--,8.9,110.6,2.2,8.6,12.6,34000,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/5/6 下午 02:40:00,1113,1.0,23.5,19.9,8.07,226,--,8.9,100.6,<1.0,<4.0,9.7,22000,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/4/1 下午 02:10:00,1113,1.0,23.8,19.3,8.12,225,--,9.3,103.5,2.1,13.4,4.1,5800,0.07,--,0.052,--,1.39,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.012,0.039,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/3/4 下午 02:40:00,1113,1.5,28.0,24.0,8.34,258,--,8.8,107.6,1.7,5.4,20.6,29000,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/2/15 上午 11:10:00,1113,1.0,26.8,23.3,8.44,244,--,9.5,114.0,1.5,<4.0,2.5,5500,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,朴子口,丙,2019/1/3 下午 02:10:00,1113,1.0,28.5,21.1,8.56,239,--,9.5,110.2,1.3,6.0,6.9,11000,0.08,--,0.066,1.04,2.31,0.008,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.007,0.018,<0.001,<0.005,<0.001,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/12/2 下午 01:30:00,1114,1.0,21.9,21.4,8.94,255,--,10.4,120.3,<1.0,4.5,4.0,850,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/11/4 下午 02:40:00,1114,1.0,27.0,23.4,8.82,233,--,9.5,114.2,1.7,5.8,5.2,1300,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/10/2 上午 11:30:00,1114,1.0,29.0,25.6,8.53,233,--,8.9,111.3,<1.0,<4.0,4.1,1200,0.12,--,0.040,--,0.95,--,<0.001,<0.003,<0.002,0.0004,<0.0003,<0.001,0.011,0.012,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/9/12 下午 01:30:00,1114,1.0,32.5,27.6,8.61,205,--,8.8,114.2,<1.0,<4.0,8.6,8600,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/8/1 下午 03:30:00,1114,1.0,29.8,26.2,8.54,217,--,8.2,105.0,1.8,8.4,13.1,1900,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/7/1 下午 03:00:00,1114,2.3,32.4,24.8,8.18,200,--,8.5,107.4,<1.0,4.8,50.2,3500,0.11,--,0.037,--,0.40,--,<0.001,<0.003,<0.002,0.0008,<0.0003,0.003,0.060,0.180,<0.001,0.011,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/6/3 下午 03:40:00,1114,1.5,27.9,23.2,8.20,189,--,8.8,105.6,1.4,5.0,49.2,4000,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/5/6 下午 03:30:00,1114,1.0,23.5,19.5,8.30,240,--,9.4,104.9,<1.0,<4.0,17.0,3500,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/4/1 下午 02:20:00,1114,2.3,18.7,19.8,8.25,245,--,9.6,107.5,5.6,8.3,4.6,2200,0.03,--,0.034,--,0.71,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.002,0.018,0.014,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/3/4 下午 02:50:00,1114,1.0,27.4,22.5,8.52,282,--,10.8,130.0,1.3,5.4,15.2,2700,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/2/15 上午 11:20:00,1114,1.0,26.0,24.6,8.98,277,--,10.1,122.8,1.6,5.9,3.0,260,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,后豐大橋,丙,2019/1/3 下午 02:20:00,1114,1.0,24.0,21.4,9.22,258,--,10.5,120.8,1.6,5.5,3.4,310,0.08,--,0.031,1.32,1.15,0.004,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.028,0.008,<0.001,<0.005,<0.001,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/12/2 下午 02:20:00,1115,1.5,21.3,18.6,8.94,576,--,11.5,125.9,4.5,22.6,4.0,150,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/11/4 下午 03:30:00,1115,1.0,27.0,24.3,9.41,309,--,11.3,137.9,2.5,8.8,2.1,1500,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/10/2 下午 12:20:00,1115,1.0,32.6,27.0,8.98,284,--,9.9,127.9,<1.0,<4.0,4.3,2100,0.28,--,0.039,--,0.87,--,<0.001,<0.003,<0.002,0.0004,<0.0003,0.001,0.008,0.013,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/9/12 下午 02:20:00,1115,1.0,32.0,26.4,8.92,212,--,9.2,117.0,1.6,5.0,9.2,5300,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/8/1 下午 04:20:00,1115,1.5,30.2,26.5,8.58,230,--,8.0,102.6,3.4,15.0,8.0,2200,0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/7/1 下午 03:50:00,1115,1.5,32.1,24.5,8.22,217,--,8.3,102.4,<1.0,<4.0,45.5,3900,0.11,--,0.048,--,0.41,--,<0.001,<0.003,<0.002,0.0006,<0.0003,0.001,0.007,0.029,<0.001,0.007,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/6/3 下午 04:30:00,1115,1.5,28.2,24.0,8.20,195,--,8.5,103.2,1.8,9.1,43.7,4100,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/5/6 下午 04:20:00,1115,1.0,23.7,19.0,8.29,255,--,9.1,101.0,<1.0,<4.0,17.0,3700,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/4/1 下午 03:10:00,1115,1.0,18.7,20.2,8.88,299,--,10.0,112.8,2.1,9.3,3.7,630,0.05,--,0.038,--,0.38,--,<0.001,<0.003,<0.002,0.0007,<0.0003,0.001,0.010,0.010,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/3/4 下午 03:40:00,1115,1.0,27.9,23.6,8.78,406,--,9.8,117.2,1.4,4.8,4.0,3000,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/2/15 下午 12:10:00,1115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,河道水深不足未採樣(小於10公分有擾動底泥疑慮者)
大甲溪流域,大甲溪,臺中市,高速公路橋,丙,2019/1/3 下午 03:10:00,1115,1.5,23.8,22.6,8.42,1420,--,12.8,149.8,4.9,21.0,1.8,85,0.07,--,0.025,4.61,0.68,0.010,<0.001,<0.003,<0.002,0.0007,<0.0003,0.001,0.010,0.024,<0.001,<0.005,<0.001,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/12/2 上午 08:20:00,1116,1.0,18.6,18.8,8.13,410,--,9.0,97.2,1.4,7.0,5.3,1600,0.06,15.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/11/4 上午 09:50:00,1116,1.0,24.7,23.2,8.58,369,--,10.0,117.6,1.2,4.8,5.7,1600,0.07,14.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/10/2 上午 07:00:00,1116,1.0,26.2,24.3,8.20,328,--,8.4,101.2,2.0,6.9,8.5,4900,0.30,8.3,0.052,--,0.90,--,<0.001,<0.003,<0.002,0.0007,<0.0003,0.001,0.013,0.017,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/9/12 下午 03:40:00,1116,1.0,32.0,28.7,8.96,239,--,8.6,112.4,1.8,5.0,9.4,800,0.21,6.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/8/1 下午 04:30:00,1116,1.0,27.2,29.0,8.95,283,--,8.2,108.2,3.0,11.9,5.0,2100,0.40,7.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/7/1 下午 04:00:00,1116,1.5,31.8,28.2,8.48,248,--,8.1,105.8,1.0,5.3,28.2,3300,0.10,15.0,0.055,--,0.45,--,<0.001,<0.003,<0.002,0.0007,<0.0003,0.001,0.008,0.008,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/6/3 下午 04:40:00,1116,2.3,29.2,24.9,8.22,201,--,8.8,107.6,1.8,7.6,64.9,3500,0.11,3.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/5/6 下午 05:30:00,1116,1.5,23.2,19.7,8.20,250,--,9.2,101.4,1.8,<4.0,22.2,5700,0.14,17.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/4/1 下午 03:20:00,1116,1.0,23.4,20.6,8.92,421,--,10.1,112.2,2.3,7.3,2.8,110,0.03,13.5,0.019,--,0.40,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.002,0.012,0.006,<0.001,<0.005,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/3/4 下午 03:50:00,1116,1.0,27.3,25.0,8.68,408,--,9.6,116.5,<1.0,<4.0,15.6,2100,0.15,17.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/2/15 下午 12:50:00,1116,1.0,27.6,26.9,8.82,472,--,10.9,136.6,1.7,7.4,15.6,90,0.17,24.2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大甲溪流域,大甲溪,臺中市,大甲溪橋,丙,2019/1/3 下午 03:20:00,1116,1.0,27.9,22.0,8.74,474,--,10.1,115.8,2.3,5.0,12.8,2500,0.09,35.2,0.034,2.10,1.71,0.005,<0.001,<0.003,<0.002,0.0007,<0.0003,0.002,0.016,0.018,<0.001,0.006,<0.001,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/12/2 上午 10:10:00,1682,1.5,21.9,18.6,8.48,400,--,9.2,105.2,3.3,5.8,<1.0,15,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/11/6 上午 08:00:00,1682,1.0,23.1,18.5,8.40,378,--,9.1,104.6,1.1,<4.0,1.1,470000,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/10/3 上午 10:30:00,1682,1.5,31.5,23.3,8.36,329,--,8.6,108.3,4.1,18.9,7.5,25,0.09,--,0.033,--,0.10,--,<0.001,<0.003,<0.002,0.0003,<0.0003,<0.001,0.002,0.021,<0.001,<0.005,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/9/4 上午 10:30:00,1682,1.0,30.2,23.8,8.37,322,--,8.2,105.2,<1.0,<4.0,9.6,630,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/8/2 上午 07:50:00,1682,1.0,25.2,21.3,8.36,338,--,8.4,103.0,1.2,4.3,3.9,1400,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/7/5 上午 09:00:00,1682,1.5,25.7,21.8,8.36,317,--,8.5,104.4,<1.0,4.8,23.2,500,0.06,--,0.019,--,0.14,--,<0.001,0.005,<0.002,0.0007,<0.0003,0.001,0.012,0.048,<0.001,<0.005,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/6/5 上午 09:20:00,1682,2.3,30.0,21.8,8.16,306,--,8.7,107.2,1.2,5.8,97.6,230,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/5/3 上午 09:40:00,1682,3.3,22.0,17.9,7.35,251,--,9.0,103.7,<1.0,17.9,714,1800,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/4/1 上午 09:00:00,1682,1.0,17.0,17.8,8.30,388,--,9.1,102.6,1.8,6.0,15.2,430,0.07,--,0.016,--,<0.01,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,0.001,0.021,0.032,<0.001,<0.005,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/3/4 上午 09:40:00,1682,1.0,20.0,17.5,8.48,437,--,9.4,105.2,<1.0,<4.0,3.0,130,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/2/13 上午 08:00:00,1682,1.0,20.3,17.2,8.38,440,--,9.4,103.8,1.4,<4.0,<1.0,25,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,象鼻大橋,甲,2019/1/4 上午 09:40:00,1682,1.0,23.1,18.4,8.46,434,--,9.3,106.0,<1.0,<4.0,3.4,1300,0.06,--,0.022,0.50,<0.01,0.001,<0.001,<0.003,<0.002,0.0003,<0.0003,<0.001,0.015,0.020,<0.001,<0.005,<0.001,--,--,--,--
大安溪流域,大安溪,苗栗縣,協成橋,甲,2019/12/2 上午 11:40:00,1343,1.0,22.5,20.2,8.63,433,--,11.0,125.7,1.6,4.8,3.2,2300,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,協成橋,甲,2019/11/6 上午 09:30:00,1343,1.0,25.5,23.8,8.58,427,--,10.3,126.8,2.2,8.6,2.8,6000,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,協成橋,甲,2019/10/3 下午 12:00:00,1343,2.3,33.8,29.2,8.66,345,--,10.3,139.0,5.7,26.7,2.8,1700,0.09,--,0.096,--,0.88,--,<0.001,<0.003,<0.002,0.0011,<0.0003,0.001,0.011,0.056,<0.001,<0.005,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,協成橋,甲,2019/9/4 下午 12:00:00,1343,1.0,31.5,25.8,8.37,309,--,8.2,105.8,2.3,7.8,3.0,30000,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
大安溪流域,大安溪,苗栗縣,協成橋,甲,2019/8/2 上午 09:20:00,1343,1.0,26.8,24.8,8.04,202,--,8.3,104.8,2.3,11.1,17.8,23000,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
