採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,鎳,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/7/5 下午 01:35:00,1222,2.0,33.7,32.7,7.90,4980,--,9.8,136.8,3.8,12.3,6.0,5400,0.97,1490,0.312,--,0.68,--,<0.001,0.004,<0.002,0.0061,<0.0003,0.003,0.007,0.093,<0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/6/4 下午 12:25:00,1222,2.5,28.5,27.1,7.24,1090,--,5.5,68.8,1.0,9.2,46.2,61000,0.69,209,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/5/3 上午 10:55:00,1222,2.5,23.5,21.0,7.02,262,--,5.2,57.9,1.9,17.3,44.5,240000,0.91,39.4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/4/3 上午 10:45:00,1222,3.5,24.4,21.6,7.24,624,--,4.4,50.1,1.7,20.3,17.3,7600,1.79,101,0.261,--,1.00,--,<0.001,<0.003,<0.002,0.0046,<0.0003,0.002,0.007,0.066,0.001,<0.005,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/3/5 上午 11:05:00,1222,4.0,18.4,20.4,7.40,3230,--,4.4,48.1,1.0,15.4,29.1,8000,1.59,951,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/2/14 上午 05:25:00,1222,3.5,20.5,20.6,7.35,559,--,4.5,50.0,2.2,15.6,16.6,6000,1.05,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,時潮橋(原為復興橋),丙,2019/1/10 下午 01:30:00,1222,3.3,22.6,22.0,7.15,266,--,6.3,71.5,1.7,16.6,52.6,240000,0.61,42.7,0.216,1.63,0.75,0.042,<0.001,<0.003,<0.002,0.0037,<0.0003,0.003,0.008,0.057,<0.001,<0.005,<0.001,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/12/5 上午 08:25:00,1346,1.5,16.8,18.5,8.23,462,--,9.0,97.1,<1.0,7.7,46.4,5500,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/11/9 上午 11:55:00,1346,2.3,24.5,22.2,8.11,436,--,8.3,96.9,<1.0,5.8,76.2,3700,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/10/7 上午 09:26:00,1346,3.3,27.3,23.3,8.38,485,--,8.3,99.0,<1.0,15.8,1580,3500,0.03,--,0.567,--,0.56,--,<0.001,0.008,<0.002,0.0013,<0.0003,0.003,0.014,0.251,<0.001,<0.005,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/9/5 上午 08:55:00,1346,3.3,27.6,23.9,8.29,491,--,8.3,101.5,<1.0,9.3,336,9400,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/8/6 上午 08:55:00,1346,2.3,31.4,25.9,8.38,592,--,8.2,103.9,<1.0,9.9,54.6,3700,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/7/5 上午 06:55:00,1346,2.3,28.2,23.3,8.34,556,--,8.4,102.3,1.6,10.9,74.2,19000,0.05,--,0.195,--,0.65,--,<0.001,0.006,<0.002,0.0007,<0.0003,0.009,0.019,0.116,<0.001,<0.005,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/6/4 上午 07:55:00,1346,1.0,27.4,22.9,8.33,507,--,8.6,103.2,<1.0,4.3,6.0,46000,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/5/3 上午 07:25:00,1346,3.3,18.7,18.7,8.38,546,--,8.8,96.2,<1.0,9.0,778,3300,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
蘭陽溪流域,蘭陽溪,宜蘭縣,牛鬥橋,甲,2019/4/3 上午 07:25:00,1346,1.0,18.2,18.5,8.35,534,--,9.5,103.4,<1.0,6.6,4.9,3800,0.05,--,0.044,--,0.41,--,<0.001,<0.003,<0.002,<0.0003,<0.0003,<0.001,0.008,0.010,0.002,<0.005,--,--,--,--,--
