採樣分區,縣市,測站名稱,水體分類等級,採樣日期,測站編號,卡爾森指數,採樣深度,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,透明度,葉綠素a,總磷,正磷酸鹽,濁度,懸浮固體,化學需氧量,氨氮,總硬度,總鹼度,硝酸鹽氮,亞硝酸鹽氮,總有機碳,有機氮,總凱氏氮,備註
,,,,,,,m,℃,℃,　,μmho/cm25℃,mg/L,mg/L,%,m,μg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
阿公店水庫,高雄市,阿公店水庫三,乙,2019/7/18 上午 09:30:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/7/18 上午 09:30:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,因故無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/6/17 上午 10:59:00,2077,71,0.5,34.8,32.0,7.95,401,--,6.4,88.9,<0.15,16.8,0.042,--,550,535,27.7,0.40,--,--,--,--,3.93,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/6/17 上午 09:30:00,2077,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,水庫測點水深不足，無法採樣
阿公店水庫,高雄市,阿公店水庫三,乙,2019/5/8 上午 11:10:00,2077,70,0.5,28.4,28.2,8.50,478,--,7.5,96.6,0.2,18.4,0.080,--,50,39.4,8.9,0.05,--,--,--,--,2.31,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/5/8 上午 11:25:00,2077,--,1.7,28.4,27.5,8.44,486,--,6.7,86.0,--,12.3,0.071,--,55,44.1,9.7,0.06,--,--,--,--,2.29,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/4/18 上午 11:47:00,2077,65,0.5,31.4,28.8,8.50,465,--,9.0,117.6,0.5,18.6,0.073,--,27,23.8,10.4,0.01,--,--,--,--,2.18,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/4/18 上午 11:56:00,2077,--,2.0,31.4,27.9,8.40,467,--,6.4,81.5,--,9.2,0.111,--,39,32.1,7.6,0.04,--,--,--,--,1.96,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/3/14 下午 02:22:00,2077,55,0.5,30.1,24.6,8.58,456,--,9.3,111.9,0.7,4.4,0.034,--,11,9.0,7.5,<0.01,--,--,--,--,2.00,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/3/14 下午 02:27:00,2077,--,3.5,30.1,24.6,8.53,451,--,9.3,111.9,--,5.5,0.042,--,12,11.6,8.5,0.01,--,--,--,--,2.01,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/2/13 下午 02:34:00,2077,51,0.5,30.6,25.9,8.52,451,--,8.6,105.5,0.9,2.2,0.031,--,6.1,4.4,5.2,0.06,--,--,--,--,1.88,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/2/13 下午 02:40:00,2077,--,4.9,30.6,25.7,8.50,445,--,8.6,104.9,--,2.5,0.029,--,7.0,4.7,5.6,0.09,--,--,--,--,1.91,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/1/10 下午 03:00:00,2077,51,0.5,27.2,24.7,8.42,440,--,9.2,109.1,1.1,3.8,0.023,--,6.2,4.9,5.2,<0.01,--,--,--,--,2.18,--,--
阿公店水庫,高雄市,阿公店水庫三,乙,2019/1/10 下午 03:05:00,2077,--,5.9,27.2,23.5,8.34,443,--,8.1,94.6,--,5.0,0.027,--,7.9,7.8,6.2,<0.01,--,--,--,--,2.15,--,--
新山水庫,基隆市,新山水庫一,乙,2019/12/6 上午 09:04:00,2087,44,0.5,14.9,19.2,7.03,125,--,7.5,81.6,1.8,2.6,0.013,--,2.1,3.5,6.6,0.09,--,--,--,--,1.01,--,--
新山水庫,基隆市,新山水庫一,乙,2019/11/4 上午 09:00:00,2087,48,0.5,22.4,22.8,7.50,185,--,7.2,84.4,1.2,2.5,0.018,--,0.90,<1.0,7.2,0.06,--,--,--,--,1.30,--,--
新山水庫,基隆市,新山水庫一,乙,2019/10/5 上午 09:01:00,2087,45,0.5,28.5,27.2,7.73,116,--,8.3,105.2,1.2,1.4,0.015,--,2.4,2.9,5.5,0.03,--,--,--,--,1.45,--,--
新山水庫,基隆市,新山水庫一,乙,2019/9/6 上午 08:55:00,2087,48,0.5,29.5,29.9,8.24,166,--,7.6,102.9,1.6,1.5,0.036,--,1.6,1.2,10.1,<0.01,--,--,--,--,1.70,--,--
新山水庫,基隆市,新山水庫一,乙,2019/8/7 上午 09:11:00,2087,46,0.5,32.4,31.6,8.02,118,--,7.5,104.5,2.2,7.1,0.011,--,1.1,2.8,7.1,0.02,--,--,--,--,2.23,--,--
新山水庫,基隆市,新山水庫一,乙,2019/7/10 上午 09:11:00,2087,49,0.5,31.9,30.4,8.88,144,--,8.8,118.9,1.4,5.4,0.017,--,1.8,<1.0,8.0,0.02,--,--,--,--,1.91,--,--
新山水庫,基隆市,新山水庫一,乙,2019/6/20 上午 08:55:00,2087,42,0.5,30.1,29.5,8.50,119,--,9.0,119.1,2.6,2.7,0.011,--,2.3,2.6,10.8,0.05,--,--,--,--,1.69,--,--
新山水庫,基隆市,新山水庫一,乙,2019/5/8 上午 08:55:00,2087,45,0.5,21.7,22.1,7.92,130,--,8.8,102.3,2.0,8.8,0.007,--,2.3,3.0,7.8,<0.01,--,--,--,--,2.47,--,--
新山水庫,基隆市,新山水庫一,乙,2019/4/10 上午 08:55:00,2087,44,0.5,26.4,24.1,8.45,133,--,9.6,116.4,2.6,5.4,0.011,--,1.3,1.7,7.6,0.02,--,--,--,--,1.30,--,--
新山水庫,基隆市,新山水庫一,乙,2019/3/5 上午 09:03:00,2087,48,0.5,17.7,18.2,7.52,137,--,9.8,104.5,2.0,7.1,0.017,--,1.0,2.3,<4.0,<0.01,--,--,--,--,1.31,--,--
新山水庫,基隆市,新山水庫一,乙,2019/2/14 上午 09:10:00,2087,51,0.5,20.2,18.0,7.32,143,--,9.4,99.1,2.0,6.5,0.034,--,1.2,6.6,9.5,0.02,--,--,--,--,1.04,--,--
新山水庫,基隆市,新山水庫一,乙,2019/1/2 上午 08:55:00,2087,48,0.5,16.4,18.7,7.08,139,--,8.0,85.6,1.8,2.2,0.031,--,2.2,4.0,<4.0,0.02,--,--,--,--,0.92,--,--
