採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,氧化還原電位,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1,4—二氯苯,1,1—二氯乙烷,1,2—二氯乙烷,1,1—二氯乙烯,順1,2—二氯乙烯,反1,2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1,1,2—三氯乙烷,1,1,1—三氯乙烷,1,2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,,mg/L,%,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺北盆地,基隆市,建德國小,2017/5/8 下午 01:07:00,4150,9.285,25.6,512,7.2,1.9,--,<131,210,295,24.6,1.78,0.02,33.2,2.64,0.0017,<0.001,0.003,0.002,<0.003,0.013,4.48,0.191,<0.0003,<0.005,<0.0060,0.26,18.7,3.84,46.4,26.2,210,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,建德國小,2017/4/27 上午 09:52:00,4150,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,建德國小,2017/2/17 下午 01:27:00,4150,9.306,26.3,520,7.1,1.4,--,<128,211,299,23.1,2.41,<0.01,27.7,2.34,0.0014,<0.001,0.001,<0.001,<0.003,<0.002,3.98,0.207,<0.0003,<0.005,<0.0060,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2017/11/30 上午 08:36:00,4151,2.349,23.9,503,6.8,0.7,--,<72.4,205,305,13.7,0.12,0.02,118,0.12,<0.0003,<0.001,0.001,0.002,0.008,0.012,5.83,0.238,--,--,<0.0060,0.13,37.6,1.96,47.2,22.0,143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2017/8/16 上午 08:34:00,4151,2.764,24.2,463,6.8,0.8,--,<66.2,164,252,16.7,0.07,<0.01,82.3,0.52,0.0003,<0.001,0.002,<0.001,<0.003,0.006,5.93,0.110,--,--,0.0085,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2017/5/8 上午 08:33:00,4151,2.576,23.7,475,6.7,5.6,--,<48.3,173,316,24.2,0.13,<0.01,95.4,0.49,<0.0003,<0.001,0.004,0.003,0.010,0.014,6.89,0.221,<0.0003,0.016,<0.0060,0.23,31.7,1.86,39.6,20.0,135,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2017/4/26 下午 04:02:00,4151,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,友二里老人活動中心,2017/2/17 上午 08:34:00,4151,2.578,23.7,485,6.8,1.8,--,<53.3,158,326,16.6,0.07,0.05,98.1,0.41,0.0003,<0.001,0.002,<0.001,<0.003,0.016,6.86,0.243,<0.0003,0.016,<0.0060,0.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2017/10/11 上午 09:49:00,4152,4.372,25.5,610,7.0,0.8,--,<44.7,296,380,10.3,0.22,<0.01,35.0,1.25,0.0034,<0.001,<0.001,0.001,<0.003,0.011,0.030,0.542,--,--,<0.0060,0.24,14.3,1.35,85.3,16.4,284,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2017/7/10 上午 09:44:00,4152,2.577,24.9,546,6.9,0.2,--,<52.2,307,332,10.3,0.26,0.08,25.5,1.36,0.0007,<0.001,<0.001,0.001,<0.003,0.003,0.635,0.484,--,--,<0.0060,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2017/4/25 上午 10:15:00,4152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,瑞竹國小,2017/4/13 上午 09:17:00,4152,5.262,25.0,632,7.1,1.4,--,<99.0,306,380,8.0,0.22,<0.01,41.2,2.49,0.0020,<0.001,<0.001,0.001,<0.003,0.006,0.741,0.444,<0.0003,0.011,<0.0060,0.19,16.9,2.00,91.8,19.5,284,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2017/1/10 上午 09:30:00,4152,4.969,24.2,624,7.0,0.0,--,<110.3,353,379,10.1,0.21,<0.01,40.4,2.63,0.0030,<0.001,<0.001,<0.001,<0.003,0.003,1.12,0.730,<0.0003,0.010,<0.0060,0.17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2017/10/11 下午 04:06:00,4153,1.543,25.3,532,7.4,0.9,--,<17.1,184,322,15.4,0.42,<0.01,18.5,1.87,0.0093,<0.001,<0.001,0.001,<0.003,0.002,0.046,0.137,--,--,<0.0060,0.20,44.8,5.60,40.5,16.8,242,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2017/7/10 下午 03:53:00,4153,0.891,25.0,539,7.4,0.4,--,<49.6,182,349,15.4,0.57,0.03,19.0,1.28,0.0225,<0.001,<0.001,0.001,<0.003,0.006,0.051,0.131,--,--,<0.0060,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2017/4/25 下午 03:02:00,4153,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,鹿谷國小,2017/4/13 下午 03:32:00,4153,1.480,23.7,534,7.5,0.8,--,<58.9,179,330,11.1,0.46,0.03,19.0,1.93,0.0117,<0.001,<0.001,0.001,<0.003,0.004,0.052,0.130,<0.0003,<0.005,<0.0060,0.19,47.1,5.91,42.7,16.8,244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,鹿谷國小,2017/1/10 下午 03:20:00,4153,1.678,23.3,535,7.4,0.0,--,<73.8,182,329,11.9,0.70,<0.01,20.8,2.59,0.0152,<0.001,<0.001,0.001,<0.003,0.003,0.082,0.138,<0.0003,<0.005,<0.0060,0.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小淺層,2017/10/17 下午 04:38:00,4154,3.804,26.0,495,6.5,1.3,--,37.8,216,300,12.6,0.07,3.82,57.5,1.80,0.0004,<0.001,<0.001,0.001,<0.003,0.003,0.011,<0.005,--,--,<0.0060,0.16,18.3,4.36,54.4,17.0,175,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小淺層,2017/7/17 上午 09:40:00,4154,2.778,25.1,512,6.5,0.8,--,71.2,216,352,11.8,0.06,4.34,57.5,1.20,0.0005,<0.001,<0.001,<0.001,<0.003,0.003,0.013,<0.005,--,--,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,集集國小淺層,2017/4/24 下午 02:04:00,4154,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
臺中地區,南投縣,集集國小淺層,2017/4/12 下午 04:28:00,4154,4.421,24.1,508,6.6,0.4,--,125.8,219,344,12.6,0.07,4.45,57.3,2.90,0.0005,<0.001,<0.001,<0.001,<0.003,0.005,0.008,<0.005,<0.0003,<0.005,<0.0060,0.17,13.9,4.52,62.7,15.2,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
