採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
臺北盆地,基隆市,建德國小,2019/5/24 下午 01:20:00,4150,8.828,25.1,516,7.15,0.5,--,212,286,24.5,2.10,<0.01,30.6,2.21,0.0007,<0.001,0.002,<0.001,<0.003,0.008,3.06,0.229,<0.0003,0.005,<0.0060,<0.10,20.4,3.53,42.0,25.9,202,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,建德國小,2019/4/25 上午 09:48:00,4150,--,--,--,--,0.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,建德國小,2019/2/25 下午 01:12:00,4150,8.574,25.6,519,7.11,0.5,--,224,306,24.1,1.74,<0.01,27.1,2.53,0.0010,<0.001,0.001,<0.001,<0.003,0.003,4.32,0.231,--,--,<0.0060,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2019/11/14 上午 08:34:00,4151,2.771,24.1,492,6.74,0.3,--,177,306,11.3,0.08,<0.01,113,0.37,<0.0003,<0.001,0.001,<0.001,<0.003,0.012,5.71,0.255,--,--,<0.0060,0.14,33.5,1.47,37.9,20.5,143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2019/8/13 上午 08:42:00,4151,3.460,24.8,484,6.72,0.3,--,172,290,11.1,0.09,<0.01,72.1,0.41,<0.0003,<0.001,0.001,<0.001,<0.003,0.014,6.98,0.253,--,--,<0.0060,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2019/5/24 上午 08:48:00,4151,2.849,24.0,482,6.81,0.2,--,179,316,15.8,0.09,<0.01,87.5,0.55,<0.0003,<0.001,0.004,<0.001,0.005,0.020,6.75,0.212,<0.0003,0.012,<0.0060,0.30,33.7,1.49,35.0,18.7,139,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺北盆地,基隆市,友二里老人活動中心,2019/4/24 下午 03:54:00,4151,--,--,--,--,0.8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200,<0.00200
臺北盆地,基隆市,友二里老人活動中心,2019/2/25 上午 08:36:00,4151,2.288,24.0,487,6.85,0.4,--,169,285,19.0,0.07,0.04,62.3,0.44,<0.0003,0.001,0.004,<0.001,<0.003,0.014,4.85,0.159,--,--,<0.0060,0.13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2019/10/22 上午 09:09:00,4152,4.353,25.3,611,6.97,0.9,--,285,387,6.8,0.19,<0.01,42.6,0.54,0.0008,<0.001,<0.001,<0.001,<0.003,0.019,2.16,0.920,--,--,<0.0060,<0.10,14.5,1.74,79.1,18.5,275,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
臺中地區,南投縣,瑞竹國小,2019/7/10 上午 09:37:00,4152,3.914,25.4,617,6.91,1.2,--,296,374,10.0,0.24,<0.01,33.5,0.67,0.0013,<0.001,<0.001,0.001,<0.003,0.009,2.36,0.870,--,--,<0.0060,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
