採樣分區,縣市,測站名稱,採樣日期,測站編號,水面至井口深度,水溫,導電度,酸鹼值,溶氧(電極法),溶氧飽和度,總硬度,總溶解固體物,氯鹽,氨氮,硝酸鹽氮,硫酸鹽,總有機碳,砷,鎘,鉻,銅,鉛,鋅,鐵,錳,汞,鎳,總酚,氟鹽,鈉,鉀,鈣,鎂,總鹼度,苯,甲苯,乙苯,二甲苯,naphthalene,四氯化碳,氯苯,氯仿,氯甲烷,1，4—二氯苯,1，1—二氯乙烷,1，2—二氯乙烷,1，1—二氯乙烯,順1，2—二氯乙烯,反1，2—二氯乙烯,三氯乙烯,四氯乙烯,氯乙烯,二氯甲烷,1，1，2—三氯乙烷,1，1，1—三氯乙烷,1，2-二氯苯,甲基第三丁基醚,備註
,,,,,m,℃,μmho/cm25℃,　,mg/L,%,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L
濁水溪沖積扇,雲林縣,大屯國小,2019/10/22 上午 10:45:00,4409,3.210,28.9,957,6.84,0.1,--,434,624,19.7,0.42,0.02,121,0.84,0.0047,<0.001,<0.001,<0.001,<0.003,0.008,0.369,1.29,--,--,<0.0060,<0.10,21.4,19.3,129,24.2,382,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,大屯國小,2019/5/16 上午 11:07:00,4409,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,雲林縣,大屯國小,2019/4/10 上午 11:17:00,4409,4.279,29.0,953,6.81,0.3,--,451,620,20.6,0.24,<0.01,116,1.17,0.0020,<0.001,<0.001,<0.001,<0.003,0.016,0.206,0.876,<0.0003,0.008,0.0069,<0.10,23.5,30.0,139,32.0,385,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,台西國小,2019/10/25 上午 09:08:00,4410,1.978,28.5,1430,7.06,3.4,--,431,868,155,0.98,<0.01,85.4,1.14,0.0843,<0.001,<0.001,0.002,<0.003,0.008,2.11,0.132,--,--,<0.0060,0.15,140,26.7,101,42.7,412,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,台西國小,2019/5/17 下午 03:42:00,4410,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,雲林縣,台西國小,2019/4/17 下午 02:11:00,4410,1.837,27.3,1470,7.24,0.0,--,377,893,136,1.42,<0.01,96.6,1.06,0.0625,<0.001,<0.001,0.003,<0.003,0.008,1.84,0.090,<0.0003,0.021,<0.0060,0.14,145,20.5,74.1,38.9,430,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,平和國小(雲林縣),2019/10/22 下午 03:00:00,4411,7.966,28.5,2100,6.60,0.5,--,1140,1660,54.9,0.02,6.89,507,1.87,<0.0003,<0.001,0.002,0.001,<0.003,0.026,0.038,0.252,--,--,<0.0060,<0.10,23.4,2.62,343,75.5,607,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,平和國小(雲林縣),2019/5/16 上午 09:29:00,4411,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,雲林縣,平和國小(雲林縣),2019/4/10 下午 02:12:00,4411,9.380,28.4,2020,6.67,1.7,--,1320,1550,45.7,0.08,5.15,542,1.61,<0.0003,<0.001,0.001,<0.001,<0.003,0.034,0.038,0.330,<0.0003,0.011,<0.0060,0.12,34.9,3.60,361,81.0,605,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,二崙國小,2019/10/25 上午 11:26:00,4413,4.553,28.0,1150,6.79,0.4,--,603,862,19.1,0.06,6.65,141,0.72,0.0008,<0.001,<0.001,0.001,<0.003,0.011,0.040,1.46,--,--,<0.0060,0.11,27.0,9.40,174,35.3,424,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,二崙國小,2019/5/20 上午 09:47:00,4413,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,雲林縣,二崙國小,2019/4/19 上午 09:56:00,4413,5.647,26.7,1060,6.88,0.5,--,584,842,18.6,0.12,2.04,142,1.10,0.0018,<0.001,<0.001,<0.001,<0.003,0.009,0.036,1.12,<0.0003,0.006,<0.0060,0.14,40.2,10.6,171,24.0,427,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,大同國小(雲林縣),2019/10/25 下午 01:53:00,4414,5.578,27.2,1710,6.79,0.2,--,983,1360,60.3,0.38,<0.01,557,1.04,0.0153,<0.001,<0.001,0.001,<0.003,0.025,3.71,0.240,--,--,<0.0060,0.22,42.9,1.98,287,75.5,357,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,大同國小(雲林縣),2019/5/20 上午 11:55:00,4414,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,雲林縣,大同國小(雲林縣),2019/4/19 下午 02:14:00,4414,6.048,26.8,1640,6.89,0.3,--,897,1290,48.9,0.32,<0.01,528,1.13,0.0126,<0.001,<0.001,<0.001,<0.003,0.020,2.71,0.221,<0.0003,0.021,<0.0060,0.26,29.6,1.36,234,64.5,360,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,橋頭國小,2019/10/25 上午 09:38:00,4415,3.716,28.4,2180,6.69,0.7,--,948,1640,149,0.94,<0.01,538,1.16,0.0185,<0.001,<0.001,0.002,<0.003,0.023,3.92,1.66,--,--,<0.0060,0.16,114,17.5,230,97.4,397,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,雲林縣,橋頭國小,2019/5/17 上午 09:37:00,4415,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,雲林縣,橋頭國小,2019/4/17 上午 09:35:00,4415,4.859,27.7,1960,6.71,0.8,--,938,1480,99.2,1.24,<0.01,529,1.55,0.0174,<0.001,<0.001,0.002,<0.003,0.025,2.30,0.777,<0.0003,0.024,<0.0060,0.18,74.5,12.3,223,75.9,405,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,竹塘國小,2019/10/22 下午 03:31:00,4417,5.659,27.2,1660,6.59,1.5,--,821,1320,45.0,0.59,<0.01,408,1.02,0.0050,<0.001,<0.001,0.002,<0.003,0.009,5.11,0.634,--,--,<0.0060,<0.10,32.4,5.39,276,48.8,402,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,竹塘國小,2019/4/30 下午 02:57:00,4417,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,竹塘國小,2019/4/19 下午 01:42:00,4417,6.393,27.2,1700,6.61,0.5,--,917,1240,46.6,0.24,<0.01,433,1.11,0.0033,<0.001,<0.001,<0.001,<0.003,0.018,7.46,0.285,<0.0003,0.025,<0.0060,<0.10,46.9,5.79,265,44.8,420,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,螺陽國小,2019/10/22 上午 09:29:00,4418,5.171,28.3,1150,6.64,1.2,--,542,824,22.9,1.01,0.02,190,1.12,0.0053,<0.001,<0.001,<0.001,<0.003,0.011,5.59,0.124,--,--,<0.0060,<0.10,23.4,7.73,176,26.3,404,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,螺陽國小,2019/4/30 上午 09:32:00,4418,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,螺陽國小,2019/4/19 上午 10:42:00,4418,5.898,28.5,1150,6.65,0.1,--,579,850,19.3,1.02,<0.01,191,1.18,0.0019,<0.001,<0.001,<0.001,<0.003,0.017,4.75,0.099,<0.0003,0.048,<0.0060,0.10,35.7,13.3,194,23.0,417,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,中正國小(彰化縣),2019/10/22 下午 01:44:00,4419,3.306,28.3,1130,6.82,1.7,--,507,800,39.6,0.11,1.33,152,0.59,<0.0003,<0.001,<0.001,0.001,<0.003,0.011,0.036,1.14,--,--,<0.0060,0.16,38.9,4.23,165,26.6,377,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,中正國小(彰化縣),2019/4/30 下午 01:32:00,4419,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,埤頭國小,2019/10/22 上午 11:04:00,4420,5.615,29.3,911,6.79,0.6,--,393,591,19.3,2.04,<0.01,126,1.02,0.0024,<0.001,<0.001,0.002,<0.003,0.011,1.42,0.471,--,--,<0.0060,<0.10,24.7,7.28,123,24.0,335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,埤頭國小,2019/4/30 上午 10:52:00,4420,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,社頭國小,2019/10/16 下午 01:40:00,4421,2.300,28.1,557,7.11,0.4,--,202,338,17.2,2.48,0.02,37.6,1.65,0.0019,<0.001,<0.001,0.001,<0.003,0.015,0.071,0.338,--,--,0.0353,0.55,44.3,7.79,64.1,13.5,253,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,社頭國小,2019/5/16 上午 11:23:00,4421,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,社頭國小,2019/4/11 下午 01:32:00,4421,2.596,31.1,628,7.10,0.3,--,204,384,19.9,2.58,0.02,39.5,1.76,0.0011,<0.001,<0.001,0.001,<0.003,0.006,0.116,0.272,<0.0003,0.007,0.0165,0.78,44.8,7.17,65.1,11.7,252,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,芳苑工業區服務中心,2019/10/24 上午 11:28:00,4422,3.437,28.7,889,6.96,0.2,--,405,704,42.7,0.09,0.34,139,0.60,0.0017,<0.001,<0.001,<0.001,<0.003,0.013,0.164,1.16,--,--,<0.0060,0.14,44.5,2.36,133,25.6,288,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,芳苑工業區服務中心,2019/4/22 下午 01:33:00,4422,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,芳苑工業區服務中心,2019/4/12 下午 02:45:00,4422,4.103,28.3,1200,6.94,0.1,--,510,910,32.1,0.16,0.76,298,0.57,0.0018,<0.001,<0.001,0.003,<0.003,0.018,0.173,0.890,<0.0003,0.009,<0.0060,0.18,61.1,2.48,175,29.2,285,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,萬興國小,2019/10/24 下午 02:28:00,4423,2.375,27.2,991,7.11,0.1,--,449,781,33.9,4.90,0.12,191,0.94,0.0011,<0.001,<0.001,0.001,<0.003,0.011,<0.005,0.129,--,--,<0.0060,0.14,33.9,9.89,137,36.8,300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,萬興國小,2019/4/22 下午 03:33:00,4423,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,員東國小,2019/10/28 上午 10:53:00,4424,2.169,29.7,778,6.80,0.9,--,379,504,24.2,0.15,0.04,59.9,0.74,0.0017,<0.001,0.001,<0.001,<0.003,0.006,0.075,1.30,--,--,<0.0060,0.12,27.0,2.27,125,22.1,332,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,員東國小,2019/4/30 上午 11:19:00,4424,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,員東國小,2019/4/11 下午 01:56:00,4424,2.206,28.5,796,6.80,0.1,--,359,534,22.8,0.17,<0.01,59.3,0.75,0.0011,<0.001,<0.001,0.001,<0.003,0.007,0.031,1.24,<0.0003,0.007,<0.0060,0.23,27.5,2.04,103,18.8,337,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,新寶國小,2019/10/24 上午 09:54:00,4425,1.220,28.2,33700,7.41,0.0,--,3840,22800,10600,1.64,<0.01,1520,0.60,0.0449,<0.001,<0.001,<0.001,<0.003,<0.002,0.359,1.16,--,--,<0.0060,0.16,5370,253,294,684,206,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,新寶國小,2019/4/22 上午 11:23:00,4425,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,新寶國小,2019/4/12 上午 11:50:00,4425,1.103,26.1,33100,7.45,0.0,--,3980,20400,9760,1.67,<0.01,1500,0.61,0.0153,<0.001,<0.001,0.005,<0.003,0.016,0.051,0.317,<0.0003,<0.005,<0.0060,0.21,5080,210,276,730,144,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,溪湖國小,2019/10/28 下午 01:32:00,4426,2.260,26.9,1040,6.96,0.9,--,475,664,33.8,1.22,0.03,161,0.68,0.0129,<0.001,<0.001,0.001,<0.003,0.010,4.26,0.093,--,--,<0.0060,<0.10,40.6,12.8,150,33.4,372,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,溪湖國小,2019/4/30 下午 02:09:00,4426,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,新水國小,2019/10/28 下午 02:59:00,4427,4.132,28.4,1090,6.72,0.4,--,594,773,22.2,0.10,0.27,115,0.86,0.0005,<0.001,<0.001,<0.001,<0.003,0.010,0.029,0.292,--,--,<0.0060,<0.10,22.2,10.1,180,44.6,493,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,新水國小,2019/4/30 下午 03:29:00,4427,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,大村國中,2019/10/28 上午 09:33:00,4428,1.900,26.8,698,7.09,0.4,--,349,432,28.4,0.78,0.02,46.3,0.91,0.0298,<0.001,<0.001,0.001,<0.003,0.004,4.34,0.344,--,--,<0.0060,<0.10,31.3,1.66,110,20.6,317,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,大村國中,2019/4/30 上午 09:40:00,4428,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,大村國中,2019/4/11 上午 11:22:00,4428,1.407,26.7,722,7.05,0.1,--,313,440,21.7,0.68,<0.01,29.2,1.19,0.0300,<0.001,<0.001,<0.001,<0.003,0.007,3.02,0.426,<0.0003,0.023,<0.0060,0.23,30.2,2.19,95.7,17.6,330,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,華龍國小(彰化縣),2019/10/23 下午 03:34:00,4429,2.880,26.8,1290,7.03,0.1,--,557,940,55.8,0.57,<0.01,219,1.09,0.0299,<0.001,<0.001,0.001,<0.003,0.011,1.57,0.525,--,--,<0.0060,0.20,53.6,1.55,142,44.9,412,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,華龍國小(彰化縣),2019/4/30 下午 03:29:00,4429,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,文開國小,2019/10/23 上午 11:48:00,4431,2.482,28.7,905,6.92,0.2,--,311,546,34.4,3.03,<0.01,40.4,2.69,0.0079,<0.001,<0.001,0.002,<0.003,0.010,0.234,0.214,--,--,<0.0060,<0.10,43.5,24.6,100,14.4,392,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,文開國小,2019/4/29 上午 11:12:00,4431,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,文開國小,2019/4/10 上午 09:26:00,4431,2.298,27.8,1220,7.02,1.4,--,426,741,48.3,2.84,<0.01,51.7,3.36,0.0026,<0.001,<0.001,0.001,<0.003,0.008,0.074,0.128,<0.0003,<0.005,<0.0060,0.11,61.7,35.6,112,36.7,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,東興國小(彰化縣),2019/10/23 上午 10:28:00,4432,3.676,27.5,1150,7.19,0.1,--,510,790,39.7,0.75,<0.01,155,0.86,0.0563,<0.001,<0.001,<0.001,<0.003,0.010,3.89,0.370,--,--,<0.0060,<0.10,31.4,3.57,134,47.8,394,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,東興國小(彰化縣),2019/4/29 上午 09:42:00,4432,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,線西國小,2019/10/23 下午 02:30:00,4434,1.411,28.6,752,6.77,0.4,--,296,462,43.1,1.52,<0.01,68.2,1.58,0.0086,<0.001,<0.001,<0.001,<0.003,0.010,0.283,0.428,--,--,<0.0060,0.18,42.4,6.29,72.7,21.0,244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
濁水溪沖積扇,彰化縣,線西國小,2019/4/29 下午 02:12:00,4434,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
濁水溪沖積扇,彰化縣,線西國小,2019/4/10 上午 11:04:00,4434,1.393,27.3,773,6.80,1.7,--,281,494,39.6,1.04,<0.01,106,1.50,0.0039,<0.001,<0.001,<0.001,<0.003,0.014,0.331,0.422,<0.0003,0.006,<0.0060,0.17,37.5,5.20,82.2,22.0,244,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
澎湖地區,澎湖縣,馬公國小,2019/11/12 下午 12:47:00,4437,3.535,28.4,1480,7.62,4.7,--,258,838,227,<0.01,4.10,83.2,0.55,<0.0003,<0.001,0.002,<0.001,<0.003,0.002,0.008,<0.005,--,--,<0.006,0.12,224,2.05,37.3,42.6,339,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
澎湖地區,澎湖縣,馬公國小,2019/4/17 下午 02:05:00,4437,--,--,--,--,1.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,0.00265,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
澎湖地區,澎湖縣,馬公國中,2019/11/12 上午 11:05:00,4438,7.545,27.7,1370,7.20,4.9,--,173,808,199,<0.01,7.24,96.3,0.59,<0.0003,<0.001,0.002,<0.001,<0.003,0.003,0.055,0.005,--,--,<0.006,<0.1,243,2.40,28.8,25.3,296,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
澎湖地區,澎湖縣,馬公國中,2019/4/17 下午 12:59:00,4438,--,--,--,--,1.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,0.00428,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002,<0.002
澎湖地區,澎湖縣,隘門國小,2019/11/11 下午 03:11:00,4439,5.125,27.4,868,7.63,3.4,--,138,510,120,<0.01,3.05,30.7,0.50,<0.0003,<0.001,<0.001,0.002,<0.003,0.003,0.195,0.010,--,--,<0.006,0.17,136,2.00,21.3,22.6,223,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
